Name,Price,Weight
Item 1,10,200
Item 2,100,20
Item 3,30,300
Item 4,20,500
Item 5,30,250
Item 6,40,10
Item 7,200,10
Item 8,120,500
Item 9,130,790
Item 10,20,100
Item 11,10,340
Item 12,4,800
Item 13,5,200
Item 14,240,20
Item 15,123,700
Item 16,245,10
Item 17,230,20
Item 18,110,200
Item 19,45,200
Item 20,67,20
Item 21,88,300
Item 22,10,500
Item 23,17,250
Item 24,19,10
Item 25,89,10
Item 26,45,500
Item 27,99,790
Item 28,125,100
Item 29,198,340
Item 30,220,800
Item 31,249,200
Item 32,230,20
Item 33,190,700
Item 34,45,10
Item 35,154.0160428,319.8930481
Item 36,157.0976318,321.8365164
Item 37,160.1792208,323.7799847
Item 38,163.2608098,325.723453
Item 39,166.3423988,327.6669213
Item 40,169.4239878,329.6103896
Item 41,172.5055768,331.5538579
Item 42,175.5871658,333.4973262
Item 43,178.6687548,335.4407945
Item 44,181.7503438,337.3842628
Item 45,184.8319328,339.3277311
Item 46,187.9135218,341.2711994
Item 47,190.9951108,343.2146677
Item 48,194.0766998,345.158136
Item 49,197.1582888,347.1016043
Item 50,200.2398778,349.0450726
